Nom;Prenom;MailPerso;MailPro;InterneOuExterne;Ville;CodeINSEE;IdHALL
Hooper;Quinn;quinn@yahoo.fr;q_hooper6540@univsmb.fr;True;Epron;220050714242253;hal-01316538
Reynolds;Nero;nero@gmail.com;rnero@univsmb.fr;False;Caen;219840814118854;hal-10581918
Castillo;Mariam;mariam@gmail.com;m.castillo2039@univsmb.fr;True;Dole;119960239198877;hal-02737346
Kinney;Carlos;carlos9787@yahoo.com;carlos_kinney@univsmb.fr;False;Agen;119940647001945;hal-66019815
Hoover;Felix;felix@gmail.fr;felix_hoover@univsmb.fr;True;Bastia;21993102B033306;hal-03416029
Sanford;Clayton;clayton6540@gmail.fr;clayton-sanford@univsmb.fr;True;Perpignan;219681066136003;hal-03667907
Jones;Josiah;josiah@yahoo.com;jones_josiah8547@univsmb.fr;False;Nevers;219970958194853;hal-08232625
Bolton;Shellie;shellie@gmail.com;b_shellie@univsmb.fr;False;Tours;119820737261376;hal-07757204
Lancaster;Skyler;skyler1943@gmail.com;lskyler@univsmb.fr;False;Vitry sur Seine;119820594081093;hal-41484833
Alford;Kasimir;kasimir@gmail.fr;alford-kasimir@univsmb.fr;False;Saint Lo;119750350502758;hal-01831995
Donaldson;Aretha;aretha@yahoo.com;donaldson_aretha9529@univsmb.fr;False;Evreux;219951227229550;hal-06567256
Nash;Yoshi;yoshi5226@gmail.fr;yoshi_nash788@univsmb.fr;True;Dole;219960239198146;hal-04074610
Cannon;Wing;wing@gmail.com;cwing7347@univsmb.fr;True;Narbonne;219660511262035;hal-59021343
Mcdonald;Judah;judah4598@yahoo.fr;m_judah3802@univsmb.fr;True;Chatellerault;219730986066167;hal-74044316
Erickson;Willow;willow3035@gmail.com;e_willow3333@univsmb.fr;False;Arras;119620662041773;hal-20930580
Tate;Nasim;nasim2757@yahoo.fr;nasimtate@univsmb.fr;True;Colmar;119970968066155;hal-08839407
Spence;Lani;lani7884@yahoo.com;l-spence@univsmb.fr;True;Pontarlier;219750925462247;hal-36123156
Higgins;Blaze;blaze@gmail.com;higgins.blaze175@univsmb.fr;True;Perpignan;219570766136554;hal-17117551
Blanchard;Rogan;rogan3036@gmail.com;b-rogan9388@univsmb.fr;True;Saint Denis;219680111339272;hal-01097136
Ellis;Rahim;rahim@gmail.fr;rahim_ellis@univsmb.fr;True;Drancy;219850893029151;hal-68594675
Thomas;Desirae;desirae@gmail.fr;d.thomas@univsmb.fr;True;Limoges;119790587085923;hal-30338236
Horn;Violet;violet965@gmail.com;violethorn@univsmb.fr;True;Saint Dizier;119960252448025;hal-31858195
Collins;Christian;christian@yahoo.fr;collinschristian@univsmb.fr;True;Pontarlier;119720825462447;hal-09579680
Yang;Russell;russell7121@gmail.com;russellyang9228@univsmb.fr;False;Ajaccio;22007072A004723;hal-97106073
Stout;Noble;noble9445@gmail.com;noblestout@univsmb.fr;False;Montigny les Metz;219560157480781;hal-05599948
Branch;Heidi;heidi@gmail.fr;hbranch1881@univsmb.fr;True;Wattrelos;119700259650574;hal-22121357
Shields;Victor;victor8951@yahoo.com;v_shields@univsmb.fr;False;Angers;119910149007829;hal-04672788
Forbes;Willa;willa@yahoo.fr;wforbes@univsmb.fr;False;Epinal;120020988160504;hal-38165088
Daniels;Chaim;chaim9790@gmail.com;chaim-daniels611@univsmb.fr;False;Limoges;119940287085432;hal-01638053
Weber;Caryn;caryn@yahoo.fr;c.weber5810@univsmb.fr;True;Saintes;219671217415558;hal-02017629
Sosa;Salvador;salvador@yahoo.com;s-sosa@univsmb.fr;False;Saint Dizier;219910152448465;hal-99214878
Collier;Edward;edward@gmail.fr;c-edward8431@univsmb.fr;True;Saint Herblain;219660544162762;hal-32010088
Boyd;Nolan;nolan@gmail.fr;nolanboyd1809@univsmb.fr;True;Avignon;119640484007897;hal-09177002
May;Aurora;aurora8439@gmail.fr;m-aurora6677@univsmb.fr;False;Saint Dizier;119960752448494;hal-08412977
Reid;Aiko;aiko233@gmail.fr;aiko-reid689@univsmb.fr;True;Anglet;219810264024212;hal-03899219
Santos;Melissa;melissa8587@gmail.com;melissa.santos9129@univsmb.fr;False;Argenteuil;119751195018426;hal-65140975
Cardenas;Colt;colt@yahoo.fr;c-cardenas@univsmb.fr;False;Puy en Velay;219840943157210;hal-03806356
Sweeney;Vernon;vernon9546@gmail.com;sweeneyvernon3466@univsmb.fr;False;Vichy;11960063310253;hal-23720994
Hinton;Katelyn;katelyn@yahoo.com;h-katelyn6642@univsmb.fr;False;Montlucon;11967013185120;hal-39809586
Edwards;Barclay;barclay@yahoo.com;barclayedwards2947@univsmb.fr;True;Rennes;119660435238503;hal-06739981
Ryan;Eric;eric9104@yahoo.fr;e_ryan@univsmb.fr;False;Pessac;219611033318524;hal-64359326
Holloway;Trevor;trevor7142@gmail.com;h.trevor1900@univsmb.fr;True;Saint Brieuc;220081222278341;hal-02154578
Snow;Rafael;rafael@gmail.fr;r.snow@univsmb.fr;True;Vichy;21975103310555;hal-01010359
Gilliam;Maisie;maisie5184@yahoo.com;maisie.gilliam1971@univsmb.fr;True;Clermont Ferrand;219660463113970;hal-27482486
Velez;Allistair;allistair@gmail.fr;allistair_velez@univsmb.fr;True;Frejus;219860283061437;hal-81957712
Lester;Harlan;harlan4154@gmail.fr;h.lester@univsmb.fr;False;Orleans;219590745234507;hal-07978211
Dixon;Amelia;amelia6787@gmail.fr;amelia_dixon1727@univsmb.fr;False;Limoges;219810587085288;hal-45467354
Butler;May;may@gmail.com;b_may4088@univsmb.fr;True;Nancy;219650954395262;hal-08894858
Boyd;Maggy;maggy9887@yahoo.fr;b_maggy@univsmb.fr;False;Creil;119881060175296;hal-02181390
Orr;Justin;justin@gmail.com;ojustin2524@univsmb.fr;True;Angouleme;120030216015351;hal-86907169
Whitaker;Phelan;phelan@gmail.fr;phelan-whitaker4804@univsmb.fr;False;Lille;120080759350943;hal-39709105
Conrad;Calista;calista9188@gmail.fr;calistaconrad@univsmb.fr;False;Hyeres;219790383069749;hal-67609563
Hartman;Brent;brent6787@gmail.fr;brent-hartman@univsmb.fr;False;Levallois Perret;120040492044071;hal-06522589
Hayes;Amanda;amanda2720@yahoo.fr;a-hayes@univsmb.fr;True;Auxerre;220050289024019;hal-03151949
Bridges;Robert;robert@yahoo.com;b.robert@univsmb.fr;True;Ajaccio;22005012A004558;hal-75448891
Bradshaw;Tanek;tanek@gmail.com;tanek-bradshaw@univsmb.fr;True;Puy en Velay;220050643157344;hal-22862730
Noble;Blythe;blythe@yahoo.fr;nblythe@univsmb.fr;True;Perigueux;119740924322326;hal-00186718
Juarez;Rigel;rigel@gmail.com;j_rigel411@univsmb.fr;False;Saint Dizier;220080352448386;hal-05242890
Munoz;Barclay;barclay@yahoo.fr;barclay.munoz5870@univsmb.fr;False;Pontarlier;219740425462895;hal-33349574
Carrillo;Marshall;marshall8272@yahoo.fr;cmarshall7849@univsmb.fr;False;Soissons;21988012722583;hal-01437548
Ryan;Sawyer;sawyer@yahoo.fr;r_sawyer4739@univsmb.fr;True;Laon;11992052408387;hal-26162850
Merritt;Wing;wing@gmail.fr;merritt_wing@univsmb.fr;True;Montlucon;12004123185264;hal-05477703
Gilliam;Whoopi;whoopi1381@gmail.fr;wgilliam9098@univsmb.fr;True;Istres;219780913047032;hal-05830206
Fitzpatrick;Adena;adena@gmail.fr;adena.fitzpatrick@univsmb.fr;True;Toulon;119550483137605;hal-07264050
Santos;Aimee;aimee4845@gmail.com;santos.aimee@univsmb.fr;False;Montpinchon;220090850350488;hal-01077693
Koch;Maryam;maryam@yahoo.com;k_maryam@univsmb.fr;False;Limoges;219630687085376;hal-06403939
King;Montana;montana@gmail.fr;k_montana7490@univsmb.fr;True;Cherbourg Octeville;119950250129118;hal-05577882
Todd;Boris;boris@gmail.fr;tboris9430@univsmb.fr;True;Evreux;219810127229240;hal-97849881
Conway;Clayton;clayton4231@yahoo.com;clayton_conway463@univsmb.fr;True;Clermont Ferrand;119560863113459;hal-00373882
Trevino;Caleb;caleb@yahoo.fr;t.caleb8311@univsmb.fr;False;Colmar;220020868066828;hal-07941330
Diaz;Kiara;kiara@gmail.com;kiaradiaz2058@univsmb.fr;True;Saint Etienne du Rouvray;219660676575295;hal-56017723
Avila;Carlos;carlos@gmail.fr;carlos_avila@univsmb.fr;True;Salon de Provence;219901213103484;hal-10542000
Farley;Barry;barry@gmail.fr;barryfarley3962@univsmb.fr;False;Pontarlier;219720625462123;hal-04529832
Huff;Roanna;roanna@yahoo.com;roanna.huff@univsmb.fr;True;Vernon;11967077336564;hal-71332176
Stevens;George;george@yahoo.com;s-george2798@univsmb.fr;False;Orvault;119730744114746;hal-04887618
Sharpe;Stephanie;stephanie@yahoo.fr;s.sharpe1015@univsmb.fr;False;Albi;219760181004709;hal-37700851
Riggs;Luke;luke@gmail.fr;r_luke3683@univsmb.fr;True;Asnieres sur Seine;119971092004536;hal-10887737
Rojas;Nita;nita@yahoo.com;nita_rojas2532@univsmb.fr;False;Boulogne sur Mer;119650762160772;hal-06494549
Keller;Jonas;jonas@gmail.fr;jonas-keller@univsmb.fr;True;Lisieux;219960514366078;hal-06635263
Love;Alden;alden9414@gmail.com;alden-love187@univsmb.fr;False;Niort;119630779191210;hal-07546198
Rosario;Bruno;bruno9842@gmail.fr;r_bruno@univsmb.fr;False;Brive la Gaillarde;219851119031829;hal-07624612
Ware;Lenore;lenore2887@yahoo.com;lenore_ware7764@univsmb.fr;False;Castres;21967062142243;hal-42253033
Goff;Aladdin;aladdin@gmail.fr;goffaladdin2523@univsmb.fr;False;Vierzon;219800418279915;hal-03444357
Byrd;Iliana;iliana@yahoo.com;i_byrd@univsmb.fr;False;Saint Die des Vosges;119810588413613;hal-40651544
Cantu;Judah;judah@gmail.fr;judah-cantu@univsmb.fr;True;Mulhouse;219990668224693;hal-23750359
Bishop;Nita;nita6502@yahoo.fr;n_bishop6265@univsmb.fr;False;Montbeliard;119810125388690;hal-49824655
Gilbert;Xyla;xyla5584@gmail.com;gxyla@univsmb.fr;False;Carcassonne;119710511069532;hal-01793732
Hoover;Vera;vera@yahoo.fr;h-vera6536@univsmb.fr;False;Narbonne;119910611262797;hal-01975082
